IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.9408191869999998,0.03930385028723134,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,4.35483871,1.9327104691712171,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,-1.8348250000000004,16.74732388201669
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.271893745,0.21708271784955446,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.7119839680000002,0.2370993110613132,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,2.115902965,0.01557623451427557,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.7761022780000002,0.22152688320324407,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,22.333524999999995,18.501182360302455
Man(a1-6)[Man(a1-3)]Man(a1-S6,2.047983695,0.4593598150184202,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,6757.848999999999,981.9920513386414
Man(a1-S6,1.377230964,0.23287502045212335,Man(a1-Sp8,73.385325,19.932981406933724
Man(b1-S0,0.590556585,0.1417939567629206,Man(b1-Sp8,17.911825,6.737447209626204
Man(b1-S0,0.535564526,0.11522274027500795,,,
Man(b1-S0,1.294634459,0.2741960647375428,,,
Galf(b1-S8,0.507225733,0.08143332918605922,,,
Galf(b1-5)Galf(b1-S8,1.585185185,0.5647236332099016,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.536630154,0.13374998807047606,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.3648462069999998,0.1682042404165264,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,2.235252241,0.35972853099221025,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.62460219,0.3580498526217581,0,0.0,0.0
