Structure on Masterlist,IUPAC
Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
Galb1-4GlcNAcb1-3Galb1-4Glcb-Sp8,Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8
Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp8,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8
Galb1-4GlcNAcb1-6(Galb1-3)GalNAc-Sp14,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(b1-Sp14
Galb1-4GlcNAcb-Sp0,Gal(b1-4)GlcNAc(b1-Sp0
Galb1-4GlcNAcb-Sp8,Gal(b1-4)GlcNAc(b1-Sp8
Galb1-4GlcNAcb-Sp23,Gal(b1-4)GlcNAc(b1-Sp23
Galb1-4Glcb-Sp0,Gal(b1-4)Glc(b1-Sp0
Galb1-4Glcb-Sp8,Gal(b1-4)Glc(b1-Sp8
GlcNAca1-3Galb1-4GlcNAcb-Sp8,GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
GlcNAca1-6Galb1-4GlcNAcb-Sp8,GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8
GlcNAcb1-2Galb1-3GalNAca-Sp8,GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8
